trial_nr	onset	event_type	phase	response	nr_frames	n	onset_abs	duration
0	0.002763791475445032	instruction	0		60		2.5403562490828335	0.49223949993029237
0	0.4950032914057374	instruction	1		1847		3.032595749013126	16.499425708316267
0	16.98980720806867	response	1	space			19.527399665676057	
0	16.994428999722004	instruction	0		60		19.532021457329392	0.5006089168600738
0	17.495037916582078	instruction	1		142		20.032630374189466	1.183014374691993
0	18.666536583099514	response	1	space			21.204129040706903	
1	18.67805229127407	fixation1	0		36	25.0	21.21564474888146	0.300305875018239
1	18.97835816629231	fixation2	1		37	25.0	21.5159506238997	0.31306483363732696
1	19.291422999929637	stimulus	2		709	25.0	21.829015457537025	6.637092708144337
1	19.956571832764894	response	3		71	25.0	22.494164290372282	
1	25.928515708073974	feedback	4	20	61	25.0	28.466108165681362	0.5131748747080564
2	26.44169058278203	fixation1	0		36	22.0	28.97928304038942	0.2997184172272682
2	26.7414090000093	fixation2	1		36	22.0	29.279001457616687	0.3006480000913143
2	27.042057000100613	stimulus	2		427	22.0	29.579649457708	4.1499634576030076
2	27.627364166546613	response	3		71	22.0	30.164956624154	
2	31.19202045770362	feedback	4	13	61	22.0	33.72961291531101	0.5039442088454962
3	31.695964666549116	fixation1	0		36	22.0	34.233557124156505	0.29900799971073866
3	31.994972666259855	fixation2	1		36	22.0	34.53256512386724	0.30534029146656394
3	32.30031295772642	stimulus	2		321	22.0	34.83790541533381	3.274975917302072
3	32.894081791397184	response	3		71	22.0	35.43167424900457	
3	35.57528887502849	feedback	4	20	61	22.0	38.11288133263588	0.5020788330584764
4	36.07736770808697	fixation1	0		36	18.0	38.614960165694356	0.3011479168199003
4	36.37851562490687	fixation2	1		36	18.0	38.916108082514256	0.30447879154235125
4	36.68299441644922	stimulus	2		300	18.0	39.22058687405661	3.1085217497311532
4	37.27814716659486	response	3		72	18.0	39.81573962420225	
4	39.79151616618037	feedback	4	21	61	18.0	42.32910862378776	0.5036385837011039
5	40.295154749881476	fixation1	0		36	25.0	42.832747207488865	0.29911075020208955
5	40.594265500083566	fixation2	1		35	25.0	43.131857957690954	0.29772408260032535
5	40.89198958268389	stimulus	2		352	25.0	43.42958204029128	3.5331574170850217
5	41.4912976664491	response	3		72	25.0	44.02889012405649	
5	44.42514699976891	feedback	4	19	60	25.0	46.9627394573763	0.5001832079142332
6	44.925330207683146	fixation1	0		37	21.0	47.462922665290534	0.30220429226756096
6	45.22753449995071	fixation2	1		36	21.0	47.765126957558095	0.30533791659399867
6	45.532872416544706	stimulus	2		258	21.0	48.070464874152094	2.741675874684006
6	46.12458341661841	response	3		69	21.0	48.662175874225795	
6	48.27454829122871	feedback	4	20	61	21.0	50.8121407488361	0.5039630834944546
7	48.778511374723166	fixation1	0		36	12.0	51.316103832330555	0.3001981251873076
7	49.078709499910474	fixation2	1		36	12.0	51.61630195751786	0.3023737077601254
7	49.3810832076706	stimulus	2		218	12.0	51.91867566527799	2.4109795838594437
7	49.97460808278993	response	3		71	12.0	52.512200540397316	
7	51.79206279153004	feedback	4	13	61	12.0	54.32965524913743	0.5022545414976776
8	52.29431733302772	fixation1	0		36	20.0	54.83190979063511	0.2998529584147036
8	52.594170291442424	fixation2	1		36	20.0	55.13176274904981	0.3060428751632571
8	52.90021316660568	stimulus	2		244	20.0	55.43780562421307	2.624438624829054
8	53.491246707737446	response	3		70	20.0	56.028839165344834	
8	55.524651791434735	feedback	4	18	61	20.0	58.062244249042124	0.5027568750083447
9	56.02740866644308	fixation1	0		36	24.0	58.56500112405047	0.30113066639751196
9	56.32853933284059	fixation2	1		36	24.0	58.86613179044798	0.3005548333749175
9	56.62909416621551	stimulus	2		216	24.0	59.1666866238229	2.395576999988407
9	57.224597457796335	response	3		71	24.0	59.762189915403724	
9	59.024671166203916	feedback	4	22	61	24.0	61.562263623811305	0.5032240003347397
10	59.527895166538656	fixation1	0		36	12.0	62.065487624146044	0.3003759584389627
10	59.82827112497762	fixation2	1		33	12.0	62.36586358258501	0.2995434580370784
10	60.1278145830147	stimulus	2		154	12.0	62.665407040622085	1.888331291731447
10	60.728022708091885	response	3		72	12.0	63.26561516569927	
10	62.016145874746144	feedback	4	11	62	12.0	64.55373833235353	0.5126499580219388
11	62.52879583276808	fixation1	0		36	18.0	65.06638829037547	0.29941387521103024
11	62.82820970797911	fixation2	1		36	18.0	65.3658021655865	0.3002343336120248
11	63.12844404159114	stimulus	2		236	18.0	65.66603649919853	2.56361133325845
11	63.724637624807656	response	3		71	18.0	66.26223008241504	
11	65.69205537484959	feedback	4	14	61	18.0	68.22964783245698	0.5032547917217016
12	66.19531016657129	fixation1	0		36	25.0	68.73290262417868	0.29919599974527955
12	66.49450616631657	fixation2	1		36	25.0	69.03209862392396	0.3064577500335872
12	66.80096391635016	stimulus	2		261	25.0	69.33855637395754	2.7651338749565184
12	67.39123720768839	response	3		70	25.0	69.92882966529578	
12	69.56609779130667	feedback	4	18	61	25.0	72.10369024891406	0.5091580837033689
13	70.07525587501004	fixation1	0		37	22.0	72.61284833261743	0.30243833269923925
13	70.37769420770928	fixation2	1		36	22.0	72.91528666531667	0.3055404173210263
13	70.68323462503031	stimulus	2		272	22.0	73.2208270826377	2.8583702500909567
13	71.27450379123911	response	3		69	22.0	73.8120962488465	
13	73.54160487512127	feedback	4	19	61	22.0	76.07919733272865	0.5035943747498095
14	74.04519924987108	fixation1	0		36	15.0	76.58279170747846	0.30006358306854963
14	74.34526283293962	fixation2	1		36	15.0	76.88285529054701	0.30387812480330467
14	74.64914095774293	stimulus	2		198	15.0	77.18673341535032	2.2509687086567283
14	75.24498895788565	response	3		72	15.0	77.78258141549304	
14	76.90010966639966	feedback	4	15	62	15.0	79.43770212400705	0.5109160002321005
15	77.41102566663176	fixation1	0		35	20.0	79.94861812423915	0.2975844996981323
15	77.70861016632989	fixation2	1		37	20.0	80.24620262393728	0.30611920868977904
15	78.01472937501967	stimulus	2		327	20.0	80.55232183262706	3.326430999673903
15	78.60789245786145	response	3		71	20.0	81.14548491546884	
15	81.34116037469357	feedback	4	22	61	20.0	83.87875283230096	0.5036182501353323
16	81.8447786248289	fixation1	0		36	18.0	84.3823710824363	0.3000837913714349
16	82.14486241620034	fixation2	1		36	18.0	84.68245487380773	0.304193333722651
16	82.44905574992299	stimulus	2		192	18.0	84.98664820753038	2.19291212502867
16	83.04117074981332	response	3		71	18.0	85.5787632074207	
16	84.64196787495166	feedback	4	16	61	18.0	87.17956033255905	0.5028450000099838
17	85.14481287496164	fixation1	0		36	12.0	87.68240533256903	0.2992314579896629
17	85.44404433295131	fixation2	1		36	12.0	87.9816367905587	0.3036517919972539
17	85.74769612494856	stimulus	2		98	12.0	88.28528858255595	1.4101720415055752
17	86.34120595781133	response	3		71	12.0	88.87879841541871	
17	87.15786816645414	feedback	4	10	61	12.0	89.69546062406152	0.5029554585926235
18	87.66082362504676	fixation1	0		36	11.0	90.19841608265415	0.30066395783796906
18	87.96148758288473	fixation2	1		36	11.0	90.49908004049212	0.29970716685056686
18	88.2611947497353	stimulus	2		169	11.0	90.79878720734268	2.013944000005722
18	88.86028150003403	response	3		72	11.0	91.39787395764142	
18	90.27513874974102	feedback	4	13	61	11.0	92.8127312073484	0.503069041762501
19	90.77820779150352	fixation1	0		36	21.0	93.31580024911091	0.3017463334836066
19	91.07995412498713	fixation2	1		36	21.0	93.61754658259451	0.3027397501282394
19	91.38269387511536	stimulus	2		213	21.0	93.92028633272275	2.3751128748990595
19	91.97786495788023	response	3		70	21.0	94.51545741548762	
19	93.75780675001442	feedback	4	20	61	21.0	96.29539920762181	0.5036152079701424
20	94.26142195798457	fixation1	0		36	24.0	96.79901441559196	0.29950108332559466
20	94.56092304131016	fixation2	1		36	24.0	97.09851549891755	0.30619720881804824
20	94.86712025012821	stimulus	2		260	24.0	97.4047127077356	2.757551916409284
20	95.45787600008771	response	3		70	24.0	97.9954684576951	
20	97.6246721665375	feedback	4	23	61	24.0	100.16226462414488	0.5027567083016038
21	98.1274288748391	fixation1	0		36	11.0	100.66502133244649	0.3006757916882634
21	98.42810466652736	fixation2	1		36	11.0	100.96569712413475	0.30181991634890437
21	98.72992458287627	stimulus	2		145	11.0	101.26751704048365	1.8120181672275066
21	99.32816754141822	response	3		72	11.0	101.86575999902561	
21	100.54194275010377	feedback	4	10	61	11.0	103.07953520771116	0.5031262910924852
22	101.04506904119626	fixation1	0		36	10.0	103.58266149880365	0.29873920883983374
22	101.34380825003609	fixation2	1		36	10.0	103.88140070764348	0.3035628329962492
22	101.64737108303234	stimulus	2		167	10.0	104.18496354063973	2.043700166977942
22	102.24509820807725	response	3		72	10.0	104.78269066568464	
22	103.69107125001028	feedback	4	10	61	10.0	106.22866370761767	0.5042315828613937
23	104.19530283287168	fixation1	0		36	22.0	106.73289529047906	0.2993270833976567
23	104.49462991626933	fixation2	1		36	22.0	107.03222237387672	0.3023503334261477
23	104.79698024969548	stimulus	2		156	22.0	107.33457270730287	1.894167291931808
23	105.39118024986237	response	3		71	22.0	107.92877270746976	
23	106.69114754162729	feedback	4	19	61	22.0	109.22873999923468	0.5031471662223339
24	107.19429470784962	fixation1	0		36	24.0	109.73188716545701	0.3004299169406295
24	107.49472462479025	fixation2	1		36	24.0	110.03231708239764	0.30485770804807544
24	107.79958233283833	stimulus	2		233	24.0	110.33717479044572	2.534215083345771
24	108.39110608305782	response	3		69	24.0	110.92869854066521	
24	110.3337974161841	feedback	4	22	62	24.0	112.87138987379149	0.5116723338142037
25	110.8454697499983	fixation1	0		36	13.0	113.38306220760569	0.3000400415621698
25	111.14550979156047	fixation2	1		36	13.0	113.68310224916786	0.302496874704957
25	111.44800666626543	stimulus	2		288	13.0	113.98559912387282	2.9933215836063027
25	112.04109066631645	response	3		71	13.0	114.57868312392384	
25	114.44132824987173	feedback	4	16	61	13.0	116.97892070747912	0.505338916555047
26	114.94666716642678	fixation1	0		36	11.0	117.48425962403417	0.2973727500066161
26	115.2440399164334	fixation2	1		36	11.0	117.78163237404078	0.3033941248431802
26	115.54743404127657	stimulus	2		274	11.0	118.08502649888396	2.877396583557129
26	116.14113258291036	response	3		71	11.0	118.67872504051775	
26	118.4248306248337	feedback	4	11	61	11.0	120.96242308244109	0.5036002499982715
27	118.92843087483197	fixation1	0		36	21.0	121.46602333243936	0.2996052913367748
27	119.22803616616875	fixation2	1		36	21.0	121.76562862377614	0.30528354179114103
27	119.53331970795989	stimulus	2		178	21.0	122.07091216556728	2.0744779584929347
27	120.12447066651657	response	3		70	21.0	122.66206312412396	
27	121.60779766645283	feedback	4	25	61	21.0	124.14539012406021	0.5027747913263738
28	122.1105724577792	fixation1	0		35	19.0	124.64816491538659	0.2978692501783371
28	122.40844170795754	fixation2	1		37	19.0	124.94603416556492	0.3036260833032429
28	122.71206779126078	stimulus	2		332	19.0	125.24966024886817	3.362985874991864
28	123.30776412505656	response	3		71	19.0	125.84535658266395	
28	126.07505366625264	feedback	4	16	61	19.0	128.61264612386003	0.5029829167760909
29	126.57803658302873	fixation1	0		36	25.0	129.11562904063612	0.30070200003683567
29	126.87873858306557	fixation2	1		36	25.0	129.41633104067296	0.30500212498009205
29	127.18374070804566	stimulus	2		165	25.0	129.72133316565305	1.974138000048697
29	127.77741154143587	response	3		71	25.0	130.31500399904326	
29	129.15787870809436	feedback	4	21	61	25.0	131.69547116570175	0.5032082083635032
30	129.66108691645786	fixation1	0		36	18.0	132.19867937406525	0.3001134586520493
30	129.9612003751099	fixation2	1		36	18.0	132.4987928327173	0.30147795798256993
30	130.26267833309248	stimulus	2		170	18.0	132.80027079069987	2.019896666985005
30	130.86121041653678	response	3		72	18.0	133.39880287414417	
30	132.2825750000775	feedback	4	19	62	18.0	134.82016745768487	0.5129328328184783
0	132.79550783289596	outro	0		9349		135.33310029050335	85.98099062498659
0	218.74886137479916	response	0	space			221.28645383240655	
0	218.77649845788255	get_score	0		1		221.31409091548994	0.014464166946709156
0	218.79096262482926	score	1		796		221.32855508243665	7.233341791667044
0	226.0141016249545	response	1	space			228.55169408256188	
