trial_nr	onset	event_type	phase	response	nr_frames	n	onset_abs	duration
0	0.0020873751491308212	instruction	0		30		1.2608311250805855	0.4994035419076681
0	0.5014909170567989	instruction	1		512		1.7602346669882536	8.566792165860534
0	9.068283082917333	instruction	0		31		10.327026832848787	0.5174546670168638
0	9.585737749934196	instruction	1		6		10.844481499865651	0.09759566653519869
1	9.683333416469395	stim	0		61	10.0	10.94207716640085	1.0190132083371282
1	10.702346624806523	stim	1		43	10.0	11.961090374737978	0.7283395836129785
2	11.430686208419502	stim	0		61	40.0	12.689429958350956	1.0202119164168835
2	12.450898124836385	stim	1		23	40.0	13.70964187476784	0.38315350003540516
