trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.0020977500826120377	instruction	0		30	0.9635804174467921	0.5045755412429571
0	0.5066732913255692	instruction	1		1	1.4681559586897492	0.015921291895210743
0	0.5225945832207799	instruction	0		31	1.48407725058496	0.517356208525598
0	1.039950791746378	instruction	1		1	2.001433459110558	0.016149249859154224
0	1.0561000416055322	instruction	0		31	2.0175827089697123	0.5173816252499819
0	1.573481666855514	instruction	1		1	2.534964334219694	0.015392874367535114
