trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.003133916761726141	instruction	0		30					0.9404267081990838	0.5023454171605408
0	0.505479333922267	instruction	1		1					1.4427721253596246	0.015818666201084852
0	0.5212980001233518	instruction	0		31					1.4585907915607095	0.5172895002178848
0	1.0385875003412366	instruction	1		1					1.9758802917785943	0.01606049994006753
1	1.0546480002813041	fixation1	0		19	26.0	0.0	23.0		1.9919407917186618	0.31787791661918163
1	1.3725259169004858	fixation2	1		18	26.0	0.0	23.0		2.3098187083378434	0.2980063334107399
1	1.6705322503112257	stimulus	2		36	26.0	0.0	23.0		2.6078250417485833	0.6008719163946807
1	2.2714041667059064	jitter	3		1	26.0	0.0	23.0		3.208696958143264	0.017457291949540377
1	2.272805666550994	response	4		0	26.0	0.0	23.0		3.2100984579883516	
1	2.2888614586554468	feedback	5	23	31	26.0	0.0	23.0	0.0012478753924369812	3.2261542500928044	0.5167519999668002
1	2.805613458622247	iti	6	23	0	26.0	0.0	23.0	0.0012478753924369812	3.7429062500596046	0.004625041503459215
2	2.810238500125706	fixation1	0		18	40.0	0.0	35.0		3.747531291563064	0.2954529165290296
2	3.105691416654736	fixation2	1		18	40.0	0.0	35.0		4.0429842080920935	0.2989698750898242
2	3.40466129174456	stimulus	2		36	40.0	0.0	35.0		4.341954083181918	0.6000371668487787
2	4.004698458593339	jitter	3		1	40.0	0.0	35.0		4.941991250030696	0.017104541417211294
2	4.005682291928679	response	4		0	40.0	0.0	35.0		4.942975083366036	
2	4.02180300001055	feedback	5	35	31	40.0	0.0	35.0	0.000789041630923748	4.959095791447908	0.5164251667447388
2	4.538228166755289	iti	6	35	0	40.0	0.0	35.0	0.000789041630923748	5.4755209581926465	0.002974167000502348
3	4.541202333755791	fixation1	0		18	33.0	0.0	39.0		5.478495125193149	0.2971374997869134
3	4.838339833542705	fixation2	1		18	33.0	0.0	39.0		5.775632624980062	0.2986675417050719
3	5.1370073752477765	stimulus	2		36	33.0	0.0	39.0		6.074300166685134	0.600982416421175
3	5.7379897916689515	jitter	3		1	33.0	0.0	39.0		6.675282583106309	0.01756699988618493
3	5.739053333643824	response	4		0	33.0	0.0	39.0		6.6763461250811815	
3	5.755556791555136	feedback	5	39	31	33.0	0.0	39.0	0.0009001665748655796	6.692849582992494	0.5166575000621378
3	6.272214291617274	iti	6	39	0	33.0	0.0	39.0	0.0009001665748655796	7.209507083054632	0.001286958809942007
0	6.273501250427216	get_score	0		1					7.210794041864574	0.01635516621172428
0	6.289856416638941	score	1		1					7.227149208076298	0.015511583536863327
