trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.003036375157535076	instruction	0		34					0.9344943342730403	0.5000514164566994
0	0.5030877916142344	instruction	1		1					1.4345457507297397	0.016554249450564384
0	0.5196420410647988	instruction	0		31					1.451100000180304	0.5166092086583376
0	1.0362512497231364	instruction	1		1					1.9677092088386416	0.016517791897058487
1	1.052769041620195	fixation1	0		19	19.0	0.0	21.0		1.9842270007357001	0.316492541693151
1	1.369261583313346	fixation2	1		17	19.0	0.0	21.0		2.300719542428851	0.2999809579923749
1	1.6692425413057208	stimulus	2		36	19.0	0.0	21.0		2.600700500421226	0.6000296669080853
1	2.269272208213806	jitter	3		1	19.0	0.0	21.0		3.2007301673293114	0.016945624724030495
1	2.270874791778624	response	4		0	19.0	0.0	21.0		3.2023327508941293	
1	2.2862178329378366	feedback	5	21	31	19.0	0.0	21.0	0.0015362920239567757	3.217675792053342	0.5165779581293464
1	2.802795791067183	iti	6	21	0	19.0	0.0	21.0	0.0015362920239567757	3.7342537501826882	0.0033855419605970383
2	2.80618133302778	fixation1	0		18	12.0	0.0	22.0		3.7376392921432853	0.29651633370667696
2	3.102697666734457	fixation2	1		18	12.0	0.0	22.0		4.034155625849962	0.2946390835568309
2	3.397336750291288	stimulus	2		36	12.0	0.0	22.0		4.328794709406793	0.6054107500240207
2	4.002747500315309	jitter	3		1	12.0	0.0	22.0		4.934205459430814	0.01719504129141569
2	4.005029125139117	response	4		0	12.0	0.0	22.0		4.9364870842546225	
2	4.019942541606724	feedback	5	22	31	12.0	0.0	22.0	0.0020905835554003716	4.9514005007222295	0.5162837086245418
2	4.536226250231266	iti	6	22	0	12.0	0.0	22.0	0.0020905835554003716	5.467684209346771	0.003077874891459942
3	4.539304125122726	fixation1	0		18	25.0	0.0	17.0		5.470762084238231	0.29784083366394043
3	4.837144958786666	fixation2	1		18	25.0	0.0	17.0		5.768602917902172	0.2989856246858835
3	5.13613058347255	stimulus	2		36	25.0	0.0	17.0		6.067588542588055	0.5999136250466108
3	5.736044208519161	jitter	3		1	25.0	0.0	17.0		6.667502167634666	0.01663820818066597
3	5.738650624640286	response	4		0	25.0	0.0	17.0		6.670108583755791	
3	5.752682416699827	feedback	5	17	31	25.0	0.0	17.0	0.0009917085990309715	6.684140375815332	0.5165617913007736
3	6.2692442080006	iti	6	17	0	25.0	0.0	17.0	0.0009917085990309715	7.200702167116106	0.0009863758459687233
0	6.270230583846569	get_score	0		1					7.201688542962074	0.01573458220809698
0	6.285965166054666	score	1		1					7.217423125170171	0.01663704216480255
