trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.00317620811983943	instruction	0		30					1.1428364580497146	0.4958665417507291
0	0.4990427498705685	instruction	1		1					1.6387029998004436	0.016343666706234217
0	0.5153864165768027	instruction	0		31					1.6550466665066779	0.5169903333298862
0	1.032376749906689	instruction	1		1					2.172036999836564	0.015934791415929794
1	1.0483115413226187	fixation1	0		18	28.0	0.0	31.0		2.187971791252494	0.31655458360910416
1	1.3648661249317229	fixation2	1		18	28.0	0.0	31.0		2.504526374861598	0.29564516665413976
1	1.6605112915858626	stimulus	2		36	28.0	0.0	31.0		2.8001715415157378	0.604434541426599
1	2.2649458330124617	jitter	3		1	28.0	0.0	31.0		3.404606082942337	0.016424583736807108
1	2.266172249801457	response	4		0	28.0	0.0	31.0		3.405832499731332	
1	2.2813704167492688	feedback	5	31	31	28.0	0.0	31.0	0.0010560001246631145	3.421030666679144	0.5181277911178768
1	2.7994982078671455	iti	6	31	0	28.0	0.0	31.0	0.0010560001246631145	3.9391584577970207	0.004644958768039942
2	2.8041431666351855	fixation1	0		18	12.0	0.0	27.0		3.9438034165650606	0.2940934165380895
2	3.098236583173275	fixation2	1		18	12.0	0.0	27.0		4.23789683310315	0.3003543331287801
2	3.398590916302055	stimulus	2		36	12.0	0.0	27.0		4.53825116623193	0.5996296252124012
2	3.9982205415144563	jitter	3		1	12.0	0.0	27.0		5.137880791444331	0.016530499793589115
2	3.9995238329283893	response	4		0	12.0	0.0	27.0		5.1391840828582644	
2	4.014751041308045	feedback	5	27	30	12.0	0.0	27.0	0.001138125080615282	5.1544112912379205	0.500253333710134
2	4.515004375018179	iti	6	27	0	12.0	0.0	27.0	0.001138125080615282	5.6546646249480546	0.0011868751607835293
3	4.516191250178963	fixation1	0		19	26.0	0.0	14.0		5.655851500108838	0.31535779125988483
3	4.831549041438848	fixation2	1		18	26.0	0.0	14.0		5.971209291368723	0.29436520859599113
3	5.125914250034839	stimulus	2		36	26.0	0.0	14.0		6.265574499964714	0.6057803751900792
3	5.731694625224918	jitter	3		1	26.0	0.0	14.0		6.871354875154793	0.017687457613646984
3	5.733151707798243	response	4		0	26.0	0.0	14.0		6.872811957728118	
3	5.749382082838565	feedback	5	14	31	26.0	0.0	14.0	0.0012581250630319118	6.88904233276844	0.522578667383641
3	6.271960750222206	iti	6	14	0	26.0	0.0	14.0	0.0012581250630319118	7.411621000152081	0.0013120826333761215
0	6.273272832855582	get_score	0		1					7.412933082785457	0.002044292166829109
0	6.275317125022411	score	1		1					7.4149773749522865	0.02262637484818697
