trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.002668374218046665	instruction	0		31					0.9727294575423002	0.5109382504597306
0	0.5136066246777773	instruction	1		1					1.4836677080020308	0.016447833739221096
0	0.5300544584169984	instruction	0		31					1.500115541741252	0.5167470406740904
0	1.0468014990910888	instruction	1		1					2.0168625824153423	0.016567500308156013
1	1.0633689993992448	fixation1	0		18	25.0	0.0	24.0		2.0334300827234983	0.3004018748179078
1	1.3637708742171526	fixation2	1		19	25.0	0.0	24.0		2.333831957541406	0.3098940420895815
1	1.673664916306734	stimulus	2		36	25.0	0.0	24.0		2.6437259996309876	0.6061443332582712
1	2.2798092495650053	jitter	3		1	25.0	0.0	24.0		3.249870332889259	0.016837624832987785
1	2.281190624460578	response	4		0	25.0	0.0	24.0		3.2512517077848315	
1	2.296646874397993	feedback	5	24	31	25.0	0.0	24.0	0.0012871669605374336	3.2667079577222466	0.517228583805263
1	2.813875458203256	iti	6	24	0	25.0	0.0	24.0	0.0012871669605374336	3.7839365415275097	0.005830707959830761
2	2.819706166163087	fixation1	0		18	16.0	0.0	20.0		3.7897672494873405	0.2947613336145878
2	3.1144674997776747	fixation2	1		18	16.0	0.0	20.0		4.084528583101928	0.2927171243354678
2	3.4071846241131425	stimulus	2		36	16.0	0.0	20.0		4.377245707437396	0.6060450840741396
2	4.013229708187282	jitter	3		1	16.0	0.0	20.0		4.983290791511536	0.016918166540563107
2	4.015051040798426	response	4		0	16.0	0.0	20.0		4.985112124122679	
2	4.030147874727845	feedback	5	20	31	16.0	0.0	20.0	0.0017721252515912056	5.000208958052099	0.5169707499444485
2	4.547118624672294	iti	6	20	0	16.0	0.0	20.0	0.0017721252515912056	5.517179707996547	0.0034502502530813217
3	4.550568874925375	fixation1	0		18	11.0	0.0	15.0		5.5206299582496285	0.2973632914945483
3	4.847932166419923	fixation2	1		18	11.0	0.0	15.0		5.817993249744177	0.29251833353191614
3	5.1404504999518394	stimulus	2		36	11.0	0.0	15.0		6.110511583276093	0.6059127496555448
3	5.746363249607384	jitter	3		1	11.0	0.0	15.0		6.716424332931638	0.016863499768078327
3	5.748021832667291	response	4		0	11.0	0.0	15.0		6.718082915991545	
3	5.7632267493754625	feedback	5	15	31	11.0	0.0	15.0	0.002139291726052761	6.733287832699716	0.5173106249421835
3	6.280537374317646	iti	6	15	0	11.0	0.0	15.0	0.002139291726052761	7.2505984576419	0.001089584082365036
0	6.281626958400011	get_score	0		1					7.251688041724265	0.014659499749541283
0	6.296286458149552	score	1		1					7.266347541473806	0.016638541594147682
