trial_nr	onset	event_type	phase	response	nr_frames	n	onset_abs	duration
0	0.0022271666675806046	instruction	0		30		1.2608792083337903	0.4978105826303363
0	0.5000377492979169	instruction	1		127		1.7586897909641266	2.1163209173828363
0	2.6163586666807532	instruction	0		31		3.875010708346963	0.5169200412929058
0	3.133278707973659	instruction	1		110		4.391930749639869	1.8276097914204001
1	4.960888499394059	stim	0		60	10.0	6.219540541060269	1.004679667763412
1	5.965568167157471	stim	1		12	10.0	7.224220208823681	0.19415929075330496
2	6.159727457910776	stim	0		61	25.0	7.418379499576986	1.022004666738212
2	7.181732124648988	stim	1		1	25.0	8.440384166315198	0.016875541768968105
