trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.0022488748654723167	instruction	0		32					0.960889708250761	0.5118717085570097
0	0.514120583422482	instruction	1		1					1.4727614168077707	0.01689304132014513
0	0.5310136247426271	instruction	0		31					1.4896544581279159	0.5154194585047662
0	1.0464330832473934	instruction	1		1					2.005073916632682	0.019834000151604414
1	1.0662670833989978	fixation1	0		19	28.0	0.0	33.0		2.0249079167842865	0.3135172501206398
1	1.3797843335196376	fixation2	1		17	28.0	0.0	33.0		2.3384251669049263	0.2829036246985197
1	1.6626879582181573	stimulus	2		37	28.0	0.0	33.0		2.621328791603446	0.6167415836825967
1	2.279429541900754	jitter	3		1	28.0	0.0	33.0		3.2380703752860427	0.0172711662016809
1	2.280470833182335	response	4		0	28.0	0.0	33.0		3.2391116665676236	
1	2.296700708102435	feedback	5	33	31	28.0	0.0	33.0	0.0008952915668487549	3.2553415414877236	0.5169746251776814
1	2.8136753332801163	iti	6	33	0	28.0	0.0	33.0	0.0008952915668487549	3.772316166665405	0.004082375206053257
2	2.8177577084861696	fixation1	0		18	22.0	0.0	12.0		3.7763985418714583	0.2971304999664426
2	3.114888208452612	fixation2	1		18	22.0	0.0	12.0		4.073529041837901	0.2935622911900282
2	3.4084504996426404	stimulus	2		36	22.0	0.0	12.0		4.367091333027929	0.6045107087120414
2	4.012961208354682	jitter	3		1	22.0	0.0	12.0		4.9716020417399704	0.01734049990773201
2	4.014366874936968	response	4		0	22.0	0.0	12.0		4.973007708322257	
2	4.030301708262414	feedback	5	12	31	22.0	0.0	12.0	0.0014379997737705708	4.9889425416477025	0.5174217084422708
2	4.5477234167046845	iti	6	12	0	22.0	0.0	12.0	0.0014379997737705708	5.506364250089973	0.00441404152661562
3	4.5521374582313	fixation1	0		18	11.0	0.0	35.0		5.510778291616589	0.29626462515443563
3	4.848402083385736	fixation2	1		18	11.0	0.0	35.0		5.8070429167710245	0.292820583563298
3	5.141222666949034	stimulus	2		35	11.0	0.0	35.0		6.0998635003343225	0.5885581662878394
3	5.729780833236873	jitter	3		1	11.0	0.0	35.0		6.688421666622162	0.01627079164609313
3	5.731159667018801	response	4		0	11.0	0.0	35.0		6.68980050040409	
3	5.746051624882966	feedback	5	35	31	11.0	0.0	35.0	0.002449541352689266	6.704692458268255	0.5127048748545349
3	6.258756499737501	iti	6	35	0	11.0	0.0	35.0	0.002449541352689266	7.21739733312279	0.0010957084596157074
0	6.259852208197117	get_score	0		1					7.218493041582406	0.02103216666728258
0	6.280884374864399	score	1		1					7.239525208249688	0.015962041914463043
