trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.003045874647796154	instruction	0		30					0.9767755828797817	0.5073333336040378
0	0.5103792082518339	instruction	1		1					1.4841089164838195	0.016393416561186314
0	0.5267726248130202	instruction	0		31					1.5005023330450058	0.5182492500171065
0	1.0450218748301268	instruction	1		1					2.0187515830621123	0.015723458491265774
1	1.0607453333213925	fixation1	0		19	12.0	0.0	20.0		2.034475041553378	0.3167113745585084
1	1.377456707879901	fixation2	1		18	12.0	0.0	20.0		2.3511864161118865	0.2952150832861662
1	1.6726717911660671	stimulus	2		36	12.0	0.0	20.0		2.6464014993980527	0.6040889583528042
1	2.2767607495188713	jitter	3		1	12.0	0.0	20.0		3.250490457750857	0.016603708267211914
1	2.2785765836015344	response	4		0	12.0	0.0	20.0		3.25230629183352	
1	2.293364457786083	feedback	5	20	31	12.0	0.0	20.0	0.001808040775358677	3.267094166018069	0.5168527085334063
1	2.8102171663194895	iti	6	20	0	12.0	0.0	20.0	0.001808040775358677	3.783946874551475	0.0013291668146848679
2	2.8115463331341743	fixation1	0		18	10.0	0.0	18.0		3.78527604136616	0.29993358347564936
2	3.1114799166098237	fixation2	1		18	10.0	0.0	18.0		4.085209624841809	0.29396912455558777
2	3.4054490411654115	stimulus	2		36	10.0	0.0	18.0		4.379178749397397	0.6045669997110963
2	4.010016040876508	jitter	3		1	10.0	0.0	18.0		4.983745749108493	0.01672470849007368
2	4.011044041253626	response	4		0	10.0	0.0	18.0		4.984773749485612	
2	4.026740749366581	feedback	5	18	30	10.0	0.0	18.0	0.0009506670758128166	5.000470457598567	0.5020113755017519
2	4.528752124868333	iti	6	18	0	10.0	0.0	18.0	0.0009506670758128166	5.502481833100319	0.0036281663924455643
3	4.532380291260779	fixation1	0		19	10.0	0.0	14.0		5.5061099994927645	0.31232808344066143
3	4.84470837470144	fixation2	1		18	10.0	0.0	14.0		5.818438082933426	0.2951049581170082
3	5.1398133328184485	stimulus	2		36	10.0	0.0	14.0		6.113543041050434	0.6036488758400083
3	5.743462208658457	jitter	3		1	10.0	0.0	14.0		6.717191916890442	0.016480457969009876
3	5.744352749548852	response	4		0	10.0	0.0	14.0		6.718082457780838	
3	5.759942666627467	feedback	5	14	30	10.0	0.0	14.0	0.0007731253281235695	6.733672374859452	0.5143074998632073
3	6.274250166490674	iti	6	14	0	10.0	0.0	14.0	0.0007731253281235695	7.24797987472266	0.001536666415631771
0	6.275786832906306	get_score	0		1					7.249516541138291	0.017649583518505096
0	6.293436416424811	score	1		1					7.2671661246567965	0.016475499607622623
