trial_nr	onset	event_type	phase	response	nr_frames	n	onset_abs	duration
0	0.0031085419468581676	instruction	0		30		0.9499313752166927	0.5047501246444881
0	0.5078586665913463	instruction	1		1		1.4546814998611808	0.01646537519991398
0	0.5243240417912602	instruction	0		31		1.4711468750610948	0.5164452497847378
0	1.040769291575998	instruction	1		1		1.9875921248458326	0.009926917031407356
1	1.0506962086074054	stim	0		61	10.0	1.99751904187724	1.0238992082886398
1	2.074595416896045	stim	1		102	10.0	3.0214182501658797	1.6965744998306036
2	3.771169916726649	stim	0		61	40.0	4.717992749996483	1.0189374168403447
2	4.7901073335669935	stim	1		31	40.0	5.736930166836828	0.5167229999788105
