9.3569 	WARNING 	Font Manager failed to load file /Users/apc/Library/Fonts/Humor-Sans-1.0.ttf
10.5757 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([ 0. , -0.3]), size=array([0.1 , 0.15]), units='deg', vertices=ndarray(...), win=Window(...))
10.5762 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([0. , 0.3]), size=array([0.1 , 0.15]), units='deg', vertices=ndarray(...), win=Window(...))
10.5767 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([-0.05,  0.  ]), size=array([0.15, 0.6 ]), units='deg', vertices=ndarray(...), win=Window(...))
10.5772 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([0.05, 0.  ]), size=array([0.15, 0.6 ]), units='deg', vertices=ndarray(...), win=Window(...))
10.5776 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.6]), units='deg', vertices=ndarray(...), win=Window(...))
10.5867 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.25, 0.25, 0.25]), fillColorSpace='rgb', fillRGB=array([0.25, 0.25, 0.25]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Circle', opacity=1, ori=0.0, pos=array([-0.05,  0.3 ]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
10.5957 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.25, 0.25, 0.25]), fillColorSpace='rgb', fillRGB=array([0.25, 0.25, 0.25]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Circle', opacity=1, ori=0.0, pos=array([0.05, 0.3 ]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
10.6048 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.25, 0.25, 0.25]), fillColorSpace='rgb', fillRGB=array([0.25, 0.25, 0.25]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Circle', opacity=1, ori=0.0, pos=array([-0.05, -0.3 ]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
10.6138 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.25, 0.25, 0.25]), fillColorSpace='rgb', fillRGB=array([0.25, 0.25, 0.25]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Circle', opacity=1, ori=0.0, pos=array([ 0.05, -0.3 ]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
10.6143 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.25, 0.25, 0.25]), fillColorSpace='rgb', fillRGB=array([0.25, 0.25, 0.25]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([ 0. , -0.3]), size=array([ 0.1 , -0.05]), units='deg', vertices=ndarray(...), win=Window(...))
10.6147 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.25, 0.25, 0.25]), fillColorSpace='rgb', fillRGB=array([0.25, 0.25, 0.25]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([0. , 0.3]), size=array([ 0.1 , -0.05]), units='deg', vertices=ndarray(...), win=Window(...))
10.6152 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.25, 0.25, 0.25]), fillColorSpace='rgb', fillRGB=array([0.25, 0.25, 0.25]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([-0.05,  0.  ]), size=array([-0.05,  0.6 ]), units='deg', vertices=ndarray(...), win=Window(...))
10.6157 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.25, 0.25, 0.25]), fillColorSpace='rgb', fillRGB=array([0.25, 0.25, 0.25]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([0.05, 0.  ]), size=array([-0.05,  0.6 ]), units='deg', vertices=ndarray(...), win=Window(...))
10.6162 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.25, 0.25, 0.25]), fillColorSpace='rgb', fillRGB=array([0.25, 0.25, 0.25]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Rect', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.6]), units='deg', vertices=ndarray(...), win=Window(...))
10.9795 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x15e750f70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x15e750f10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15e6f2830>, multiSample=False, name='window1', numSamples=2, pos=(0, 60), screen=0, size=array([2400, 2400]), stencilBits=0, stereo=False, title='PsychoPy', units='deg', useFBO=False, useRetina=True, viewOri=0.0, viewPos=array([0., 0.]), viewScale=None, waitBlanking=True, winType='pyglet')
10.9795 	EXP 	window1: backgroundImage = None
10.9795 	EXP 	window1: backgroundFit = 'cover'
10.9993 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.9994 	EXP 	window1: recordFrameIntervals = False
11.1627 	EXP 	window1: recordFrameIntervals = True
11.3473 	EXP 	Screen (0) actual frame rate measured at 59.63Hz
11.3474 	EXP 	window1: recordFrameIntervals = False
11.3474 	WARNING 	Actual framerate: 59.63026 (1 frame = 0.01677)
11.3587 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.5, name='unnamed Circle', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
11.3627 	EXP 	Created unnamed Line = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=ndarray(...), fillColorSpace='rgb', fillRGB=ndarray(...), interpolate=True, lineColor=array([ 1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([ 1, -1, -1]), lineWidth=4, name='unnamed Line', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='deg', vertices=array([[-0.1, -0.1],
       [ 0.1,  0.1]]), win=Window(...), windingRule=None)
11.3637 	EXP 	Created unnamed Line = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=ndarray(...), fillColorSpace='rgb', fillRGB=ndarray(...), interpolate=True, lineColor=array([ 1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([ 1, -1, -1]), lineWidth=4, name='unnamed Line', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='deg', vertices=array([[-0.1,  0.1],
       [ 0.1, -0.1]]), win=Window(...), windingRule=None)
