trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.0036907074972987175	instruction	0		35					1.2783072078600526	0.5072517497465014
0	0.5109424572438002	instruction	1		83					1.785558957606554	1.3830565428361297
0	1.8939990000799298	instruction	0		31					3.1686155004426837	0.5158353745937347
0	2.4098343746736646	instruction	1		1					3.6844508750364184	0.01640424970537424
1	2.426238624379039	fixation1	0		19	36.0	0.0	32.0		3.7008551247417927	0.31721245869994164
1	2.7434510830789804	fixation2	1		18	36.0	0.0	32.0		4.018067583441734	0.29458329174667597
1	3.0380343748256564	stimulus	2		36	36.0	0.0	32.0		4.31265087518841	0.6048630410805345
1	3.642897415906191	jitter	3		94	36.0	0.0	32.0		4.917513916268945	1.566556416451931
1	3.6439414992928505	response	4		0	36.0	0.0	32.0		4.918557999655604	
1	5.209453832358122	feedback	5	24	31	36.0	0.0	32.0	1.550255666486919	6.484070332720876	0.5167074175551534
1	5.726161249913275	iti	6	24	0	36.0	0.0	32.0	1.550255666486919	7.000777750276029	0.0012872908264398575
2	5.727448540739715	fixation1	0		18	19.0	0.0	16.0		7.002065041102469	0.29917983431369066
2	6.026628375053406	fixation2	1		18	19.0	0.0	16.0		7.30124487541616	0.3001479571685195
2	6.326776332221925	stimulus	2		36	19.0	0.0	16.0		7.601392832584679	0.5991590842604637
2	6.925935416482389	jitter	3		70	19.0	0.0	16.0		8.200551916845143	1.1666815411299467
2	6.927170583046973	response	4		0	19.0	0.0	16.0		8.201787083409727	
2	8.092616957612336	feedback	5	40	31	19.0	0.0	16.0	1.1501012919470668	9.36723345797509	0.5167661672458053
2	8.609383124858141	iti	6	40	0	19.0	0.0	16.0	1.1501012919470668	9.883999625220895	0.0014959163963794708
3	8.61087904125452	fixation1	0		18	19.0	0.0	37.0		9.885495541617274	0.29908529110252857
3	8.909964332357049	fixation2	1		18	19.0	0.0	37.0		10.184580832719803	0.2999397087842226
3	9.209904041141272	stimulus	2		36	19.0	0.0	37.0		10.484520541504025	0.5995016666129231
3	9.809405707754195	jitter	3		110	19.0	0.0	37.0		11.084022208116949	1.8334760833531618
3	9.810360415838659	response	4		0	19.0	0.0	37.0		11.084976916201413	
3	11.642881791107357	feedback	5	15	31	19.0	0.0	37.0	1.8171154586598277	12.91749829147011	0.5168271251022816
3	12.159708916209638	iti	6	15	0	19.0	0.0	37.0	1.8171154586598277	13.434325416572392	0.0011757910251617432
0	12.1608847072348	get_score	0		1					13.435501207597554	0.015360042452812195
0	12.176244749687612	score	1		476					13.450861250050366	7.934843124821782
