trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.002261875197291374	instruction	0		31					1.1088712918572128	0.5121762496419251
0	0.5144381248392165	instruction	1		142					1.6210475414991379	2.3654628335498273
0	2.8653669585473835	response	1	space						3.971976375207305	
0	2.879900958389044	instruction	0		31					3.986510375048965	0.5180369163863361
0	3.39793787477538	instruction	1		14					4.504547291435301	0.22578966664150357
0	3.6165128336288035	response	1	space						4.723122250288725	
1	3.6237275414168835	fixation1	0		19	13.0	0.0	23.0		4.730336958076805	0.3239798336289823
1	3.9477073750458658	fixation2	1		18	13.0	0.0	23.0		5.054316791705787	0.29438495822250843
1	4.242092333268374	stimulus	2		36	13.0	0.0	23.0		5.348701749928296	0.6045334581285715
1	4.846625791396946	jitter	3		82	13.0	0.0	23.0		5.953235208056867	1.3668174999766052
1	4.848478250205517	response	4		0	13.0	0.0	23.0		5.955087666865438	
1	6.213443291373551	feedback	5	10	30	13.0	0.0	23.0	1.3449335414916277	7.320052708033472	0.5005295420996845
1	6.713972833473235	iti	6	10	0	13.0	0.0	23.0	1.3449335414916277	7.820582250133157	0.003936791326850653
2	6.717909624800086	fixation1	0		18	30.0	0.0	15.0		7.824519041460007	0.29583058366551995
2	7.013740208465606	fixation2	1		18	30.0	0.0	15.0		8.120349625125527	0.29818245815113187
2	7.311922666616738	stimulus	2		36	30.0	0.0	15.0		8.41853208327666	0.6012298334389925
2	7.91315250005573	jitter	3		126	30.0	0.0	15.0		9.019761916715652	2.1501712081953883
2	7.914405500050634	response	4		0	30.0	0.0	15.0		9.021014916710556	
2	10.063323708251119	feedback	5	22	31	30.0	0.0	15.0	2.1348428335040808	11.16993312491104	0.5185442916117609
2	10.58186799986288	iti	6	22	0	30.0	0.0	15.0	2.1348428335040808	11.688477416522801	0.004182625096291304
3	10.58605062495917	fixation1	0		18	25.0	0.0	19.0		11.692660041619092	0.29478112515062094
3	10.880831750109792	fixation2	1		18	25.0	0.0	19.0		11.987441166769713	0.2953770412132144
3	11.176208791323006	stimulus	2		36	25.0	0.0	19.0		12.282818207982928	0.6035204171203077
3	11.779729208443314	jitter	3		90	25.0	0.0	19.0		12.886338625103235	1.5003561666235328
3	11.781037541572005	response	4		0	25.0	0.0	19.0		12.887646958231926	
3	13.280085375066847	feedback	5	13	30	25.0	0.0	19.0	1.4834678336046636	14.386694791726768	0.5111702084541321
3	13.791255583520979	iti	6	13	0	25.0	0.0	19.0	1.4834678336046636	14.8978650001809	0.0016190828755497932
0	13.792874666396528	get_score	0		1					14.89948408305645	0.020510792266577482
0	13.813385458663106	score	1		60					14.919994875323027	0.9956326661631465
0	14.801593541633338	response	1	space						15.90820295829326	
