trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.0027989586815238	instruction	0		31					1.031292958650738	0.5106635834090412
0	0.513462542090565	instruction	1		130					1.5419565420597792	2.1630719578824937
0	2.6702560833655298	response	1	space						3.698750083334744	
0	2.6765344999730587	instruction	0		31					3.705028499942273	0.5213396670296788
0	3.1978741670027375	instruction	1		15					4.226368166971952	0.24946845788508654
0	3.43240649998188	response	1	space						4.460900499951094	
1	3.447342624887824	fixation1	0		19	31.0	0.0	21.0		4.475836624857038	0.31672670878469944
1	3.7640693336725235	fixation2	1		18	31.0	0.0	21.0		4.792563333641738	0.29318970814347267
1	4.057259041815996	stimulus	2		36	31.0	0.0	21.0		5.08575304178521	0.6060367915779352
1	4.663295833393931	jitter	3		118	31.0	0.0	21.0		5.691789833363146	1.9614641251973808
1	4.664475083351135	response	4		0	31.0	0.0	21.0		5.6929690833203495	
1	6.624759958591312	feedback	5	14	31	31.0	0.0	21.0	1.952107708901167	7.653253958560526	0.5232624998316169
1	7.148022458422929	iti	6	14	0	31.0	0.0	21.0	1.952107708901167	8.176516458392143	0.005286125000566244
2	7.153308583423495	fixation1	0		18	18.0	0.0	14.0		8.18180258339271	0.2946444167755544
2	7.44795300019905	fixation2	1		18	18.0	0.0	14.0		8.476447000168264	0.2939577498473227
2	7.741910750046372	stimulus	2		36	18.0	0.0	14.0		8.770404750015587	0.605081541929394
2	8.346992291975766	jitter	3		108	18.0	0.0	14.0		9.37548629194498	1.8000930002890527
2	8.34879183350131	response	4		0	18.0	0.0	14.0		9.377285833470523	
2	10.14708529226482	feedback	5	11	31	18.0	0.0	14.0	1.7850935836322606	11.175579292234033	0.516327999997884
2	10.663413292262703	iti	6	11	0	18.0	0.0	14.0	1.7850935836322606	11.691907292231917	0.0033433325588703156
3	10.666756624821573	fixation1	0		18	21.0	0.0	22.0		11.695250624790788	0.29666733369231224
3	10.963423958513886	fixation2	1		18	21.0	0.0	22.0		11.9919179584831	0.2999640414491296
3	11.263387999963015	stimulus	2		36	21.0	0.0	22.0		12.29188199993223	0.5999990422278643
3	11.86338704219088	jitter	3		154	21.0	0.0	22.0		12.891881042160094	2.5664972914382815
3	11.866315583698452	response	4		0	21.0	0.0	22.0		12.894809583667666	
3	14.429884333629161	feedback	5	28	31	21.0	0.0	22.0	2.5477174585685134	15.458378333598375	0.5223212498240173
3	14.952205583453178	iti	6	28	0	21.0	0.0	22.0	2.5477174585685134	15.980699583422393	0.0015822499990463257
0	14.953787833452225	get_score	0		1					15.982281833421439	0.004402333404868841
0	14.958190166857094	score	1		62					15.986684166826308	1.038647041656077
0	15.982247167266905	response	1	space						17.01074116723612	
