trial_nr	onset	event_type	phase	response	nr_frames	n	onset_abs	duration
0	0.003955000080168247	instruction	0		31		0.9524883748963475	0.508302291855216
0	0.5122572919353843	instruction	1		956		1.4607906667515635	15.927611958235502
0	16.43215816700831	response	1	space			17.38069154182449	
0	16.439869250170887	instruction	0		31		17.388402624987066	0.5211652917787433
0	16.96103454194963	instruction	1		101		17.90956791676581	1.6781109580770135
0	18.63142070872709	response	1	space			19.57995408354327	
1	18.639145500026643	fixation1	0		19	31.0	19.587678874842823	0.3226657919585705
1	18.961811291985214	fixation2	1		18	31.0	19.910344666801393	0.2993540414609015
1	19.261165333446115	stimulus	2		125	31.0	20.209698708262295	2.683454583398998
1	19.860883083660156	response	3		34	31.0	20.809416458476335	
1	21.944619916845113	feedback	4	35	31	31.0	22.893153291661292	0.5167567916214466
2	22.46137670846656	fixation1	0		18	40.0	23.40991008328274	0.3009561663493514
2	22.76233287481591	fixation2	1		17	40.0	23.71086624963209	0.2839817921631038
2	23.046314666979015	stimulus	2		127	40.0	23.994848041795194	2.731583250220865
2	23.66072200005874	response	3		37	40.0	24.60925537487492	
2	25.77789791719988	feedback	4	32	30	40.0	26.72643129201606	0.4999827495776117
3	26.27788066677749	fixation1	0		18	32.0	27.22641404159367	0.30010420829057693
3	26.57798487506807	fixation2	1		19	32.0	27.526518249884248	0.2978127500973642
3	26.875797625165433	stimulus	2		163	32.0	27.824330999981612	3.3189162919297814
3	27.47753404220566	response	3		36	32.0	28.42606741702184	
3	30.194713917095214	feedback	4	28	31	32.0	31.143247291911393	0.5189089165069163
0	30.71362283360213	get_score	0		1		31.66215620841831	0.014103333465754986
0	30.727726167067885	score	1		459		31.676259541884065	7.650420541409403
0	38.34979187510908	response	1	space			39.298325249925256	
